MODEL UNDER TEST. No tools. No other files.

=== QUIZ ===
Answer from CONTEXT triples. One line: ANSWER_PLAIN: <city_or_UNKNOWN>

QUESTION: Where is the company located that Q1 works_at? City only.

CONTEXT:
Q1 | works_at | S1
R1 | located_in | U1
Dx1_0 | works_at | Dco1_0
Dco1_0 | located_in | Dci1_0
Dx1_1 | works_at | Dco1_1
Dco1_1 | located_in | Dci1_1
Dx1_2 | works_at | Dco1_2
Dco1_2 | located_in | Dci1_2
Dx1_3 | works_at | Dco1_3
Dco1_3 | located_in | Dci1_3
Dx1_4 | works_at | Dco1_4
Dco1_4 | located_in | Dci1_4
Dx1_5 | works_at | Dco1_5
Dco1_5 | located_in | Dci1_5
Dx1_6 | works_at | Dco1_6
Dco1_6 | located_in | Dci1_6
Dx1_7 | works_at | Dco1_7
Dco1_7 | located_in | Dci1_7
Dx1_8 | works_at | Dco1_8
Dco1_8 | located_in | Dci1_8
Dx1_9 | works_at | Dco1_9
Dco1_9 | located_in | Dci1_9
Dx1_10 | works_at | Dco1_10
Dco1_10 | located_in | Dci1_10
Dx1_11 | works_at | Dco1_11
Dco1_11 | located_in | Dci1_11
S1 | located_in | V1
T1 | located_in | W1
Z1 | works_at | S1
